"ID	","·ÖÀà	","±êÌâ	","×÷Õß	","ÄÚÈÝ	","¸½¼þ	","´´½¨Ê±¼ä	","×îºó¸üÐÂ	"
1011240,"³£ÓÃÖªÊ¶	","ÒËÐÅ¿Í·þµç»°£¬ÒËÐÅ½ðÈÚÍø´ûÆ½Ì¨¿Í·þµç»°	","¸¶Ç®À­¿Í·þ-803	","ÒËÐÅ²Æ¸»¿Í·þÈÈÏß	95183
ÒËÐÅÆÕ»Ý¿Í·þÈÈÏß	400-818-2866
ÒËÈË´ûÀí²Æ¿Í·þÈÈÏß	400-060-9191
ÒËÈË´û½è¿î¿Í·þÈÈÏß	400-609-9400	",-,2017/11/8 18:36,2017/11/8 18:36
1011375,"³£ÓÃÖªÊ¶	","ÎÒÃÇµÄÖ§¸¶²úÆ·/¸¶Ç®À­Ö§¸¶²úÆ·	","¸¶Ç®À­¿Í·þ-803	","ÏßÏÂÉ¨Âë²úÆ·


ÏßÉÏ¾ÛºÏÖ§¸¶²úÆ·	",-,2017/11/13 13:31,2017/11/17 12:59
1011392,"³£ÓÃÖªÊ¶	","B2B	","¸¶Ç®À­¿Í·þ-803	","ÆóÒµÓëÆóÒµ¼ä¿ªÕ¹µÄÒµÎñ	",-,2017/11/13 18:02,2017/11/13 18:02
1011393,"³£ÓÃÖªÊ¶	","B2C	","¸¶Ç®À­¿Í·þ-803	","ÆóÒµÓë¸öÈË¼ä¿ªÕ¹µÄÒµÎñ	",-,2017/11/13 18:02,2017/11/13 18:02
1011394,"³£ÓÃÖªÊ¶	","¸¶Ç®À­	","¸¶Ç®À­¿Í·þ-803	","¸¶Ç®À­ÊÇÒ»¿îÎªÆóÒµÌá¹©Ö§¸¶½ÓÈëµÄ²úÆ·£¬ÄÜ¹»°ïÖúÆóÒµ½ÓÈëÖ÷Á÷µÄÖ§¸¶Í¨µÀ£¬ÈçÖ§¸¶±¦¡¢Î¢ÐÅ¡¢¾©¶«Ö§¸¶µÈµÚÈý·½Ö§¸¶Í¨µÀ¡£Í¬Ê±»¹ÄÜ¹»Ìá¹©ÅäÌ×µÄ½ðÈÚÐÅÏ¢·þÎñ£¬Èç×Ê½ðÍÐ¹Ü¡¢ÕË»§¹ÜÀí¡¢·ÖÆÚ²úÆ·¡¢ÈÚ×ÊµÈ¡£ÎÒÃÇÓÐ×¨ÒµµÄÍÅ¶Ó½øÐÐºóÌ¨µÄÔËÓª¹ÜÀí¡¢ÏµÍ³ÔËÎ¬¡¢·çÏÕ¼à¿Ø¡¢½»Ò×Ô¤¾¯¡¢±¨±í¹ÜÀí¡¢7*24Ð¡Ê±ÔËÎ¬µÈ·þÎñ£¬ÒÔ±£ÕÏÉÌ»§µÄ½»Ò×Õý³£ÔË×ª¡£	",-,2017/11/13 18:02,2017/11/13 18:02
1011395,"³£ÓÃÖªÊ¶	","µÚÈý·½Ö§¸¶	","¸¶Ç®À­¿Í·þ-803	","µÚÈý·½Ö§¸¶ÊÇÖ¸¾ß±¸Ò»¶¨ÊµÁ¦ºÍÐÅÓþ±£ÕÏµÄ¶ÀÁ¢»ú¹¹£¬²ÉÓÃÓë¸÷´óÒøÐÐÇ©Ô¼µÄ·½Ê½£¬Í¨¹ýÓëÒøÐÐÖ§¸¶½áËãÏµÍ³½Ó¿Ú¶Ô½Ó¶ø´Ù³É½»Ò×Ë«·½½øÐÐ½»Ò×µÄÍøÂçÖ§¸¶Ä£Ê½¡£
ÔÚµÚÈý·½Ö§¸¶Ä£Ê½£¬Âò·½Ñ¡¹ºÉÌÆ·ºó£¬Ê¹ÓÃµÚÈý·½Æ½Ì¨Ìá¹©µÄÕË»§½øÐÐ»õ¿îÖ§¸¶£¨Ö§¸¶¸øµÚÈý·½£©£¬²¢ÓÉµÚÈý·½Í¨ÖªÂô¼Ò»õ¿îµ½ÕË¡¢ÒªÇó·¢»õ£»Âò·½ÊÕµ½»õÎï£¬¼ìÑé»õÎï£¬²¢ÇÒ½øÐÐÈ·ÈÏºó£¬ÔÙÍ¨ÖªµÚÈý·½¸¶¿î£»µÚÈý·½ÔÙ½«¿îÏî×ªÖÁÂô¼ÒÕË»§¡£	",-,2017/11/13 18:02,2017/11/13 18:02
1011396,"³£ÓÃÖªÊ¶	","SDK	","¸¶Ç®À­¿Í·þ-803	","Èí¼þ¿ª·¢¹¤¾ß°üÊÇÒ»Ð©Èí¼þ¹¤³ÌÊ¦ÎªÌØ¶¨µÄÈí¼þ°ü¡¢Èí¼þ¿ò¼Ü¡¢Ó²¼þÆ½Ì¨¡¢²Ù×÷ÏµÍ³µÈ½¨Á¢Ó¦ÓÃÈí¼þÊ±µÄ¿ª·¢¹¤¾ßµÄ¼¯ºÏ¡£	",-,2017/11/13 18:02,2017/11/13 18:02
1011397,"³£ÓÃÖªÊ¶	","DEMO	","¸¶Ç®À­¿Í·þ-803	","¼´ÎªÑÝÊ¾°æ	",-,2017/11/13 18:02,2017/11/13 18:02
1011398,"³£ÓÃÖªÊ¶	","¸¶Ç®À­ÈçºÎÊÕ·Ñ/¸¶Ç®À­·ÑÓÃ/·ÑÂÊ	","¸¶Ç®À­¿Í·þ-803	","¸¶Ç®À­µÄÊÕ·ÑÏîÄ¿°üÀ¨»ù´¡·þÎñºÍÔöÖµ·þÎñ¡£?
Ä¿Ç°ÕýÔÚ»î¶¯ÆÚ¼ä£¬»ù´¡·þÎñ¼´Ö§¸¶½ÓÈë·þÎñÊÇÃâ·ÑµÄ¡£?


ÈçÐè¸¶Ç®À­Ð­Öú´ú¿ªÍ¨µÀ£¬µÚÈý·½»áºÍÄúÊÕÈ¡½ÓÈë·þÎñ·Ñ£¬ÀýÈç¿ªÍ¨Î¢ÐÅ¹«ÖÚºÅÖ§¸¶£¬Ðè½ÉÄÉ¿ªÍ¨·Ñ300Ôª¡£ÁíÍâ£¬ÎÞÂÛÊÇ×ÔÐÐ¿ªÍ¨»¹ÊÇÎ¯ÍÐ¸¶Ç®À­´ú¿ªÍ¨µÀ£¬µÚÈý·½Ö§¸¶¹«Ë¾¶¼»áºÍÄúÊÕÈ¡½»Ò×ÊÖÐø·Ñ£¬±ÈÈçÎ¢ÐÅÖ§¸¶µÄµ¥±Ê·ÑÂÊÎª0.6%¡£
ÔöÖµ·þÎñ°üÀ¨£ºÀí²Æ·þÎñ¡¢·ÖÆÚ²úÆ·¡¢ÐÅÓÃÊý¾ÝÖ§³Ö·þÎñµÈ£¬ÈçÐè¸¶Ç®À­Ìá¹©ÔöÖµ·þÎñ£¬ÈçÐèÒªÁË½âÏêÇé¿ÉÁôÏÂÄúµÄÁªÏµ·½Ê½¿Í·þ»á°²ÅÅ×¨ÊôÈËÔ±½øÐÐÓëÄúÇ¢Ì¸¡£	",-,2017/11/13 18:02,2017/11/13 18:11
1011399,"³£ÓÃÖªÊ¶	","¸¶Ç®À­²»ÊÕ·Ñ£¬Ó¯ÀûÔÚÄÄÀï/¸¶Ç®À­·ÑÓÃ/·ÑÂÊ	","¸¶Ç®À­¿Í·þ-803	","ÎÒÃÇµÄ³õÖÔÊÇÓë´´Òµ¹«Ë¾»òÖÐÎ¢ÆóÒµ½¨Á¢³¤ÆÚºÏ×÷¹ØÏµ£¬´òÏìÎÒÃÇ¿Ú±®£¬ ÎÒÃÇÊÇ·Ö»ù´¡·þÎñºÍÔöÖµ·þÎñµÄ¡£


½ÓÈëºÍ´úÉêÇëÕâÐ©¶¼ÊÇ»ù´¡·þÎñ£¬ÏÖÔÚ»ù´¡·þÎñÊÇÃâ·ÑµÄ»î¶¯ÆÚ¼ä£¬ÈôÒÔºó»î¶¯½áÊøºó£¬ºóÃæÔÙÀ´½øÐÐÉêÇë½ÓÈëµÄ¿Í»§¾ÍÒª¿ªÊ¼ÊÕ·ÑµÄ£¬Ç°ÆÚÒÑ¾­ºÏ×÷µÄ¿Í»§²»Éæ¼°·ÑÓÃ£¬µÈÓÚÊÇÌáÇ°ÏíÊÜÁËÃâ·Ñ»áÔ±µÄ´ýÓöÁË¡£


?ÔöÖµ·þÎñ°üÀ¨£ºÀí²Æ·þÎñ¡¢·ÖÆÚ²úÆ·¡¢ÐÅÓÃÊý¾ÝÖ§³Ö·þÎñµÈ£¬ÈçÐè¸¶Ç®À­Ìá¹©ÔöÖµ·þÎñ£¬ÈçÐèÒªÁË½âÏêÇé¿ÉÁôÏÂÄúµÄÁªÏµ·½Ê½¿Í·þ»á°²ÅÅ×¨ÊôÈËÔ±½øÐÐÓëÄúÇ¢Ì¸¡£	",-,2017/11/13 18:02,2017/11/13 18:15
1011400,"³£ÓÃÖªÊ¶	","ÒÆ¶¯wap	","¸¶Ç®À­¿Í·þ-803	","H5ÍâÖÃä¯ÀÀÆ÷£¬ÊÖ»úä¯ÀÀÆ÷	",-,2017/11/13 18:02,2017/11/13 18:02
1011401,"³£ÓÃÖªÊ¶	","¹«ÖÚºÅ	","¸¶Ç®À­¿Í·þ-803	","H5ÄÚÖÃä¯ÀÀÆ÷£¬Î¢ÐÅÄÚÖÃä¯ÀÀÆ÷	",-,2017/11/13 18:02,2017/11/13 18:02
1011402,"³£ÓÃÖªÊ¶	","PCÍøÒ³	","¸¶Ç®À­¿Í·þ-803	","µçÄÔä¯ÀÀÆ÷´ò¿ªµÄÍøÒ³	",-,2017/11/13 18:02,2017/11/13 18:02
1011403,"³£ÓÃÖªÊ¶	","APP½éÉÜ	","¸¶Ç®À­¿Í·þ-803	","°²×°ÔÚÖÇÄÜÊÖ»úÉÏµÄÈí¼þ	",-,2017/11/13 18:02,2017/11/30 11:24
1011413,"³£ÓÃÖªÊ¶	","APP½ÓÈëÍøÒøÖ§¸¶/APP½ÓÈëÍ¨µÀÖÖÀà/APPÍ¨µÀ	","¸¶Ç®À­¿Í·þ-803	","ÊÖ»úAPP½ÓÈëÖ§¸¶£¬²»Ö§³Ö½ÓÈëÍøÒøÍ¨µÀ¡£


ÊÖ»úAPPÖ§³Ö½ÓÈë£ºÎ¢ÐÅÖ§¸¶£¬Ö§¸¶±¦Ö§¸¶£¬¿ì½ÝÖ§¸¶	",-,2017/11/13 19:36,2017/11/30 11:25
1011496,"³£ÓÃÖªÊ¶	","µÚËÄ·½Ö§¸¶	","¸¶Ç®À­¿Í·þ-803	","µÚËÄ·½Ö§¸¶ÊÇÏà¶ÔµÚÈý·½¶øÑÔµÄ£¬×÷Îª¶ÔµÚÈý·½Ö§¸¶Æ½Ì¨·þÎñµÄÍØÕ¹¡£


µÚÈý·½Ö§¸¶½éÓÚÒøÐÐºÍÉÌ»§Ö®¼ä£¬¶øµÚËÄ·½Ö§¸¶ÊÇ½éÓÚµÚÈý·½Ö§¸¶ºÍÉÌ»§Ö®¼ä£¬Ã»ÓÐÖ§¸¶Ðí¿ÉÅÆÕÕµÄÏÞÖÆ¡£	",-,2017/11/17 13:00,2017/11/17 13:00
1012256,"³£ÓÃÖªÊ¶	","Ë÷Òª·¢Æ±/¿ª·¢Æ±/Ìá¹©·¢Æ±/·þÎñ·¢Æ±	","¸¶Ç®À­¿Í·þ-803	","Ä¿Ç°ÎÒÃÇÆ½Ì¨´¦ÓÚÍÆ¹ãÆÚ£¬»ù´¡µÄ¾ÛºÏÖ§¸¶¼°É¨ÂëÖ§¸¶Ãâ·Ñ½ÓÈë£¬²»Ìá¹©·¢Æ±¡£


ÔöÖµ·þÎñ·þÎñÈç¹ûÐèÒªÌá¹©·¢Æ±£¬ÐèÒªÉÌ»§Ìá¹©Ò»ÏÂÐÅÏ¢£º
·¢Æ±ÐÅÏ¢£º¹«Ë¾È«³Æ£¬ÄÉË°ÈËÊ¶±ðºÅ£¬¹«Ë¾×¢²áµØÖ·£¬µç»°£¬¿ª»§ÐÐ£¬ÕËºÅ£¬·¢Æ±ÄÚÈÝÖ»ÄÜÊÇ·þ·Ñ¡£
¿ìµÝÐÅÏ¢£ºÐÕÃû£¬µç»°£¬µØÖ·¡£	",-,2017/12/5 16:24,2017/12/5 16:55
1384,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÉêÇëÎ¢ÐÅÉ¨ÂëÖ§¸¶¸öÌå»§ÎÞ¶Ô¹«ÕË»§/É¨ÂëÖ§¸¶ÎÞ¶Ô¹«ÕË»§	","¸¶Ç®À­¿Í·þ-801	","Èô¸öÌå»§ÎÞ¶Ô¹«ÕË»§ÇëÓÃÓªÒµÖ´ÕÕÉÏ·¨ÈËµÄË½ÈËÒøÐÐ¿¨´úÌæ	",-,2016/9/21 19:25,2017/11/22 15:39
1514,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨Âë½ÓÈëÁ÷³Ì/ÏßÏÂÉ¨Âë¿ªÍ¨²½Öè	","¸¶Ç®À­¿Í·þ-801	","1¡¢×¢²á£ºÌá½»ÆóÒµ»ò¸öÌåÏà¹ØÖ´ÕÕµÈ×ÊÖÊÍê³ÉÉóºË¡£²¢ÏÂÔØ£º×¢²áµÇÂ¼ºóÏÂÔØ¶þÎ¬Âë
2¡¢´òÓ¡ÌùÃÅµê£º½«¶þÎ¬ÂëÌùÖÁÃÅµê
3¡¢É¨ÂëÊÕ¿î£ºÏû·ÑÕßÉ¨Âë¸¶¿î	",-,2016/9/30 11:52,2017/11/22 17:33
1000709,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","É¨ÂëÏÞ¶î/É¨ÂëÖ§¸¶ÏÞ¶î	","¸¶Ç®À­¿Í·þ-801	","Ö§¸¶±¦¡¢Î¢ÐÅ¡¢ÐÅÓÃ¿¨¡¢´¢Ðî¿¨É¨ÂëÖ§¸¶ÏÞ¶î²Î¿¼¹Ù·½¶î¶È¡£
ÎÂÜ°ÌáÊ¾£º·Ç·¨Ì×ÏÖ¡¢¶ñÒâË¢µ¥»áÃæÁÙÉÌ»§Í¨µÀ¶î¶Èµ÷Õû»ò¹Ø±Õ·çÏÕ¡£	",-,2017/1/5 10:43,2017/11/22 17:54
1011404,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨Âë½éÉÜ	","¸¶Ç®À­¿Í·þ-803	","¶àÂëºÏÒ»£¬Í¬Ê±Ö§³ÖÎ¢ÐÅºÍÖ§¸¶±¦£¬½áËãÖÜÆÚT+1¡¢·ÑÂÊ£º0.35%-0.6%Ö®£¬×îÖÕÈ·ÈÏºÏ×÷Ö®ºó¸øµ½×îÖÕ·ÑÂÊµã£¬Ö§¸¶±¦¼°Î¢ÐÅÍ¨µÀ¶¼ÊÇ°´ÕÕÃ¿±ÊÊÕÈ¡·ÑÂÊ¡£
Ö§³ÖÆóÒµ¡¢¸öÌå¡¢¸öÈËºÏ×÷£¬ÊµÏÖ¶Ô¹«¶ÔË½½áËã¡£	",-,2017/11/13 19:36,2017/11/22 14:26
1011405,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨ÂëÖ§³ÖµÄµÚÈý·½Ö§¸¶Æ½Ì¨	","¸¶Ç®À­¿Í·þ-803	","Î¢ÐÅÒÔ¼°Ö§¸¶±¦	",-,2017/11/13 19:36,2017/11/22 14:32
1011406,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨Âë¿ªÍ¨µÄÌõ¼þ	","¸¶Ç®À­¿Í·þ-803	","1¡¢ÓÐ¸öÌå¾­ÓªÖ´ÕÕ»òÆóÒµÓªÒµÖ´ÕÕ¡£
2¡¢ÉêÇëÈËÔÚµêÆÌÃÅÍ·ÊÖ³ÖÉí·ÝÖ¤ÕÕÆ¬»òÔÚ°ì¹«»·¾³ÕÕÆ¬¡£
¸öÈËÔÝ²»Ö§³Ö½ÓÈë	",-,2017/11/13 19:36,2017/12/19 14:44
1011424,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨ÂëT+1½áËã/É¨Âë·ÑÂÊ/ÊÖÐø·Ñ	","¸¶Ç®À­¿Í·þ-803	","¶àÂëºÏÒ»£¬Í¬Ê±Ö§³ÖÎ¢ÐÅºÍÖ§¸¶±¦£¬½áËãÖÜÆÚT+1¡¢·ÑÂÊ×îµÍ0.35%£¬Î¢ÐÅÒÔ¼°Ö§¸¶±¦Í¨µÀ¶¼ÊÇ°´ÕÕÃ¿±ÊÊÕÈ¡·ÑÂÊ¡£Ö§³ÖÆóÒµ¡¢¸öÌå¡¢¸öÈËºÏ×÷£¬ÊµÏÖ¶Ô¹«¶ÔË½½áËã¡£	",-,2017/11/14 10:34,2017/11/22 17:34
1011425,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","ÏßÏÂÉ¨ÂëD0½áËã/É¨Âë·ÑÂÊ/ÊÖÐø·Ñ	","¸¶Ç®À­¿Í·þ-803	","¶àÂëºÏÒ»£¬Ä¿Ç°Ö§³ÖÖ§¸¶±¦ºÍÎ¢ÐÅ£¬½áËãÖÜÆÚD0¡¢·ÑÂÊ£º0.38%+Ã¿±Ê1ÔªÌáÏÖ·ÑÓÃ£¬¶¼ÊÇ°´ÕÕÃ¿±ÊÊÕÈ¡·ÑÂÊ¡£
Ö§³ÖÆóÒµ¡¢¸öÌå¡¢¸öÈËºÏ×÷£¬ÊµÏÖ¶Ô¹«¶ÔË½·¨ÈË½áËã¡£	",-,2017/11/14 10:34,2017/11/22 17:34
1011440,"Ö§¸¶²úÆ·£ºÏßÏÂÉ¨ÂëÖ§¸¶	","È«¹úÁ¬Ëøµê³¡¾°£¬½ÓÈëÎ¢ÐÅºÍÖ§¸¶±¦ÏßÏÂÉ¨Âë£¨ÕýÉ¨£©ÊÇ·ñÄÜÊµÏÖÃ¿¸öÃÅµêµÄ½»Ò×½áËãµ½×Üµê	","¸¶Ç®À­¿Í·þ-803	","¿ÉÒÔµÄ£»ÉêÇëÊ±×ÜµêÌá½»×ÊÖÊ¡£
ÔÚºóÌ¨Ó¦ÓÃÖÐÐÄ´´½¨¶à¸öÓ¦ÓÃÖÐÐÄÃû³Æ£¬ºóÌ¨Ìá¹©²éÑ¯¶©µ¥¹¦ÄÜ¡£
ÏÔÊ¾Ö§¸¶²úÆ·£¨Ö§¸¶Í¨µÀ£©£¬ÉÌÆ·Ãû³ÆµÈ¡£²¢ÇÒ¿ÉÊµÏÖ¸÷·ÖµêµÄ¶þÎ¬ÂëÇø·Ö±ãÓÚ×Üµê²éÑ¯¶©µ¥¹ÜÀí¡£	",-,2017/11/14 18:10,2017/11/22 17:33
1011381,"Ö§¸¶²úÆ·£º¾ÛºÏÖ§¸¶£¨Ö±Áª£©	","¾ÛºÏÖ§¸¶£¨Ö±Áª£©Ö§³ÖµÄµÚÈý·½Ö§¸¶Æ½Ì¨	","¸¶Ç®À­¿Í·þ-803	","Î¢ÐÅ
Ö§¸¶±¦
¾©¶«Ç®°ü
°Ù¶ÈÇ®°ü
¿ìÇ®
Ò×±¦
ÒøÁªÍøÒø
APPLE PAY	",-,2017/11/13 13:33,2017/11/13 13:33
1011382,"Ö§¸¶²úÆ·£º¾ÛºÏÖ§¸¶£¨Ö±Áª£©	","¾ÛºÏÖ§¸¶£¨Ö±Áª£©¿ªÍ¨µÄÌõ¼þ	","¸¶Ç®À­¿Í·þ-803	","1¡¢ÓÐÖ§¸¶³¡¾°
2¡¢PCÍøÒ³ÓÐICP±¸°¸
3¡¢APPÓÐÖ§¸¶ÏêÇé½ØÍ¼
4¡¢¹«ÖÚºÅÓÐ·þÎñºÅ
5¡¢H5Ò³Ãæ±¸°¸
6¡¢ÆóÒµ½áËã¶Ô¹«
7¡¢¸öÌå½áËã¶Ô¹«
¸öÈËÔÝ²»Ö§³Ö½ÓÈë	",-,2017/11/13 13:33,2017/11/20 17:26
1011416,"Ö§¸¶²úÆ·£º¾ÛºÏÖ§¸¶£¨Ö±Áª£©	","¹ÉÆ±ÐÐÒµ½ÓÈë£¬¹ÉÆ±¿ªÍ¨¾ÛºÏÖ§¸¶	","¸¶Ç®À­¿Í·þ-803	","¹ÉÆ±ÐÐÒµ²»Ö§³Ö½ÓÈë¡£	",-,2017/11/13 19:36,2017/11/20 17:29
